"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",904757,904899,143,"*","MYC_A549_peak_1",23,".",2.55096,5.64714,2.3129,36,"Promoter (<=1kb)",1,904834,914971,10138,1,"284600","ENST00000715285.1",0,NA,"LOC284600","uncharacterized LOC284600"
"chr1",1000756,1001033,278,"*","MYC_A549_peak_2",237,".",7.21175,28.1271,23.7871,166,"Promoter (<=1kb)",1,1001138,1014540,13403,1,"9636","ENST00000624697.4",-105,"ENSG00000187608","ISG15","ISG15 ubiquitin like modifier"
"chr1",1308305,1308412,108,"*","MYC_A549_peak_3",45,".",3.78303,8.15943,4.55451,62,"Promoter (<=1kb)",1,1308597,1311677,3081,1,"126789","ENST00000379031.10",-185,"ENSG00000169972","PUSL1","pseudouridine synthase like 1"
"chr1",3504225,3504328,104,"*","MYC_A549_peak_4",39,".",4.71457,7.53305,3.98364,32,"Intron (ENST00000356575.9/1953, intron 17 of 36)",1,3490925,3496717,5793,2,"1953","ENST00000491842.1",-7508,"ENSG00000162591","MEGF6","multiple EGF like domains 6"
"chr1",6026204,6026303,100,"*","MYC_A549_peak_5",25,".",4.46198,5.86199,2.50663,23,"Promoter (<=1kb)",1,6026272,6086366,60095,1,"8514","ENST00000663169.1",0,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",6199460,6199683,224,"*","MYC_A549_peak_6",27,".",2.69154,6.11664,2.73926,162,"Promoter (<=1kb)",1,6185020,6199595,14576,2,"6146","ENST00000234875.9",0,"ENSG00000116251","RPL22","ribosomal protein L22"
"chr1",6701980,6702094,115,"*","MYC_A549_peak_7",92,".",4.41879,13.209,9.27298,67,"Promoter (<=1kb)",1,6635113,6701924,66812,2,"55735","ENST00000294401.11",-56,"ENSG00000007923","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11"
"chr1",7223685,7223798,114,"*","MYC_A549_peak_8",91,".",7.41922,13.1024,9.1716,67,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-145144,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7266165,7266316,152,"*","MYC_A549_peak_9",91,".",7.11382,13.1024,9.1716,52,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-102626,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7299470,7299585,116,"*","MYC_A549_peak_10",35,".",4.97601,7.06977,3.55919,30,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-69357,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",8877982,8878238,257,"*","MYC_A549_peak_11",326,".",7.05844,37.1313,32.6844,89,"Promoter (<=1kb)",1,8866432,8878032,11601,2,"2023","ENST00000646660.1",0,"ENSG00000074800","ENO1","enolase 1"
